S.#,Sentence,Label
1,This app is quite good. ,Non SCR
2,It consist a lot of features at the moment even you cannot use all the features in one day.,Non SCR
3,I feel there should be a limit of messages in one day so that most of the people do not waste their time on this platform.,SCR
4,It is not harmful but time consuming.,Non SCR
5,For the past week I keep getting an error that says (#17) User request limit reached.   ,Non SCR
6,I've had an account for several years and have never received this message.,Non SCR
7,I don't post as much as others.,Non SCR
8, What's going on and can you please fix it?,Non SCR
9,How to update WhatsApp?,Non SCR
10,This app would be more popular if some extra feature like messenger can be introduced and at least the chat head option and the message react system. ,SCR
11,This way there will be more users as they will find it comfortable then.,Non SCR
12,"Otherwise overall it is good,but can be better.",Non SCR
13,Hope to see the better version so soon?,Non SCR
14,Biraho ntabirenze.,Non SCR
15,"This turned into a source of spreading ""news"" that suited an agenda, be it true or false & suppressing truth that didn't meet that agenda. ",Non SCR
16," However, it started out as a great media for contacting lost friends & connecting with distant relatives.",Non SCR
17,It's shameful what power a business with a public forum can seize to control innocent minds. ,Non SCR
18,"If you can manage to ignore all the politics, it's still a great resource!",SCR
19,When can I set in dark mode my profile because this app doesn't give me that option?,SCR
20,Superb,Non SCR
21,There are issues while calling using your bluetooth in watsapp. ,Non SCR
22,Facebook is interfering with our 1st amendment and the fact checkers are one example of it! ,Non SCR
23,I'm so disappointed and need to fix this issue.,Non SCR
24,"For almost a week now, the app on adroid is not updating the most recent news feed. ",SCR
25,I uninstalled the app once and reinstalled that resolved the problem for 2 days and now I am facing the same issue. ,Non SCR
26,Rookie mistake for such a big application,Non SCR
27,You felt the need to lock me out of the app until I downloaded an update that allows me to mute videos.  ,Non SCR
28,So what if users want to stay a version or two behind when it's not viral security updates? ,Non SCR
29,That's such unfriendly design for no apparent reason.,Non SCR
30,Super,Non SCR
31,"One of the recent regression of this app goes back to the quality of downloading, the downloaded(.pdf) file couldn't be found in documents folder. ",Non SCR
32,exemplification of DEAD LOSS ! ,Non SCR
33,"Apart from trampling the user's privacy, this app cannot upload or download a simple .Rar file correctly. ",Non SCR
34,"My friend sent a .rar file (1.8 MB) several times with different name, but I couldn't receive it in the end.",Non SCR
35,Nice,Non SCR
36,When trying to load photos on a post it is only letting one photo be loaded. ,Non SCR
37,Also when adding a photo to a comment you have to press back (samsung s10+) to see if the photo is there and then press submit. ,SCR
38,This is ridiculous it needs to be fixed!,Non SCR
39,op,Non SCR
40,Nice,Non SCR
41,No comments,Non SCR
42,Sir I thought it's a very useful application till last 4 days I don't know why sir I have blocked many people as they are sending me useless message,SCR
43,Now from the last four days they are sending me messages.  ,Non SCR
44,sir please help I would give it five stars but not sir I want to make a change that we can hide our blocked contacts if we want to .,SCR
45,Sir please work on this problem I want you to make this change and please do it. ,Non SCR
46,it's your application user's wish. ,Non SCR
47,I can sya please sir it is very irritating.,Non SCR
48,Good,Non SCR
49,I dont have any experience only booking,Non SCR
50,"Unreliable app, better offwith website",Non SCR
51,Rs meena,Non SCR
52,This app was good for communicating. ,Non SCR
53,Now it was very slow and some photos are not sending again. ,SCR
54,"We should resend the photos, some times when other person send the images ,all images are not coming to the gallery only some are coming to the gallery. ",SCR
55,Rectify this issue . ,Non SCR
56,Keep profile photo also private like status.,SCR
57,We are keeping for particular members like that for profile also do update.,Non SCR
58,The app is good but I hate the annoying two close (X) buttons in FB watch. ,Non SCR
59,Why the other one for seeing fewer videos like that is marked as X too? ,Non SCR
60,I've always mistaken it as the close button.,Non SCR
61,"It is , useful, fun , and informative . ",Non SCR
62,Easy to use and a good way to keep in touch with those who are distances away. ,Non SCR
63,Yea all in all ..... sound . Keep it up !!,Non SCR
64,FB is such a good way to keep you close how lives anywhere in the USa for me my family is ,Non SCR
65,If you take the time to read from the help center fd tell to what you got to do to work the setting as good as that did for me. ,Non SCR
66,To get there and from the way it goes they got other aps to help me keepin contact with my family what ever i got to marrie with fb will be good. ,Non SCR
67,I will the quickst rout to use in fb but help center will teach me. Å,Non SCR
68,So if there is any help i got i got it from face book.,Non SCR
69,"I would have given a 5 stars, but the marking feature when sending images is acting odd. ",Non SCR
70,"Everytime I use the marker to draw on the image, it wont show all of the marks, and erase some. ",SCR
71,The same goes with the back feature when marking. ,Non SCR
72,It doesnt reverse the mark that was just drawn but also the older ones. ,SCR
73,Please fix.,Non SCR
74,Nice,Non SCR
75,Best,Non SCR
76,"Super annoying bubble pop sound whenever you ""like"" something or comment. ",Non SCR
77,Just started with the last update. ,Non SCR
78,It's enough that it limits my time and interaction with other through the app.,Non SCR
79,No comments,Non SCR
80,Facebook is a good app for me already. ,Non SCR
81,The only problem for me was during I reported a picture spreading on your platform because it displays nudity but sadly. ,SCR
82,"Your community standards on reporting a nude picture doesn't work, it just says, it doesn't go with our specific community standardsù even though the picture is obviously displaying nudity. ",SCR
83,I hope you'll be able to fix this matter as soon as possible.,Non SCR
84,Remember when you wanted to share a picture on Fakebook. ,Non SCR
85,You could open your pictures up and select a certain folder to select the picture you wanted to upload. ,SCR
86,But for whatever reason your developers removed that option. ,Non SCR
87,Now you have to rifle through thousands of pictures from your phone instead of allowing us to open sub folders.,SCR
88,n?Òy. l. ft l,Non SCR
89,I'm getting annoyed with some of the features of this app. ,Non SCR
90,It seems like every few months the volume of the sounds in the app get louder and louder... ,Non SCR
91,It's freaking obnoxious!,Non SCR
92,There is no way to turn the volume down unless I mute my phone or turn my phone's volume. ,SCR
93,So low I can't hear my other apps.,Non SCR
94,Good experience so far. ,Non SCR
95,Still trying to enhance my security and privacy while maintaining a Facebook account.,Non SCR
96,After new update sonetimes I not received the messages in whatapp group although the other received. ,Non SCR
97,I try to restart my phone but still have the problem. ,Non SCR
98,Not really sure how to fix it,Non SCR
99,Ö¯?ÖÒç7Ö¯?ÖÒÅ,Non SCR
100,My facebook was compromised. ,Non SCR
101,I have had to open a new account but at least I'm back on fb,Non SCR
102,I gave the info they asked for and put in the info provided still can't get in and unable to get anybody to help me. ,SCR
103,The app is good. ,Non SCR
104,"Only what I have experienced is that, when I install I only use for a day, tomorrow it has disappeared then I have to install it again.... ",Non SCR
105,please help me to know the problem.,Non SCR
106,App is crashing regularly in Samsung A50 after the recent Android 11 update. ,Non SCR
107,Chat backup takes nearly an hour. ,Non SCR
108,Horrible !!,Non SCR
109,Baddd,Non SCR
110,Good,Non SCR
111,The marketplace tab is such utter garbage. ,SCR
112,"Almost every feature on it's buggy (the search filters rarely work, saving listings only work half the time, the damn thing brings up an ""unexpected error"" message every few minutes, etc). ",SCR
