model,min_df,ngram_range,binary,cleaning_type,accuracy,classification_report,confusion_matrix,vocabulary_size
Naive Bayes,1,Unigrama,True,Nenhuma,0.8242857142857143,"{'Non SCR': {'precision': 0.8694158075601375, 'recall': 0.9150090415913201, 'f1-score': 0.8916299559471366, 'support': 553.0}, 'SCR': {'precision': 0.6016949152542372, 'recall': 0.48299319727891155, 'f1-score': 0.5358490566037736, 'support': 147.0}, 'accuracy': 0.8242857142857143, 'macro avg': {'precision': 0.7355553614071874, 'recall': 0.6990011194351158, 'f1-score': 0.713739506275455, 'support': 700.0}, 'weighted avg': {'precision': 0.8131944201758984, 'recall': 0.8242857142857143, 'f1-score': 0.8169159670850303, 'support': 700.0}}","{0: {'No-SCR': 506, 'SCR': 76}, 1: {'No-SCR': 47, 'SCR': 71}}",3285
SVM,1,Unigrama,True,Nenhuma,0.8371428571428572,"{'Non SCR': {'precision': 0.8523274478330658, 'recall': 0.9602169981916817, 'f1-score': 0.9030612244897959, 'support': 553.0}, 'SCR': {'precision': 0.7142857142857143, 'recall': 0.3741496598639456, 'f1-score': 0.49107142857142855, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.78330658105939, 'recall': 0.6671833290278136, 'f1-score': 0.6970663265306122, 'support': 700.0}, 'weighted avg': {'precision': 0.8233386837881219, 'recall': 0.8371428571428572, 'f1-score': 0.8165433673469388, 'support': 700.0}}","{0: {'No-SCR': 531, 'SCR': 92}, 1: {'No-SCR': 22, 'SCR': 55}}",3285
Logistic Regression (L1),1,Unigrama,True,Nenhuma,0.8471428571428572,"{'Non SCR': {'precision': 0.8766891891891891, 'recall': 0.9385171790235082, 'f1-score': 0.9065502183406113, 'support': 553.0}, 'SCR': {'precision': 0.6851851851851852, 'recall': 0.5034013605442177, 'f1-score': 0.5803921568627451, 'support': 147.0}, 'accuracy': 0.8471428571428572, 'macro avg': {'precision': 0.7809371871871872, 'recall': 0.7209592697838629, 'f1-score': 0.7434711876016782, 'support': 700.0}, 'weighted avg': {'precision': 0.8364733483483483, 'recall': 0.8471428571428572, 'f1-score': 0.8380570254302594, 'support': 700.0}}","{0: {'No-SCR': 519, 'SCR': 73}, 1: {'No-SCR': 34, 'SCR': 74}}",3285
Logistic Regression (L2),1,Unigrama,True,Nenhuma,0.85,"{'Non SCR': {'precision': 0.8822525597269625, 'recall': 0.9349005424954792, 'f1-score': 0.9078138718173837, 'support': 553.0}, 'SCR': {'precision': 0.6842105263157895, 'recall': 0.5306122448979592, 'f1-score': 0.5977011494252874, 'support': 147.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.783231543021376, 'recall': 0.7327563936967192, 'f1-score': 0.7527575106213356, 'support': 700.0}, 'weighted avg': {'precision': 0.8406637327106161, 'recall': 0.85, 'f1-score': 0.8426902001150435, 'support': 700.0}}","{0: {'No-SCR': 517, 'SCR': 69}, 1: {'No-SCR': 36, 'SCR': 78}}",3285
Naive Bayes,1,Unigrama,True,Parcial,0.8242857142857143,"{'Non SCR': {'precision': 0.8694158075601375, 'recall': 0.9150090415913201, 'f1-score': 0.8916299559471366, 'support': 553.0}, 'SCR': {'precision': 0.6016949152542372, 'recall': 0.48299319727891155, 'f1-score': 0.5358490566037736, 'support': 147.0}, 'accuracy': 0.8242857142857143, 'macro avg': {'precision': 0.7355553614071874, 'recall': 0.6990011194351158, 'f1-score': 0.713739506275455, 'support': 700.0}, 'weighted avg': {'precision': 0.8131944201758984, 'recall': 0.8242857142857143, 'f1-score': 0.8169159670850303, 'support': 700.0}}","{0: {'No-SCR': 506, 'SCR': 76}, 1: {'No-SCR': 47, 'SCR': 71}}",3285
SVM,1,Unigrama,True,Parcial,0.8371428571428572,"{'Non SCR': {'precision': 0.8523274478330658, 'recall': 0.9602169981916817, 'f1-score': 0.9030612244897959, 'support': 553.0}, 'SCR': {'precision': 0.7142857142857143, 'recall': 0.3741496598639456, 'f1-score': 0.49107142857142855, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.78330658105939, 'recall': 0.6671833290278136, 'f1-score': 0.6970663265306122, 'support': 700.0}, 'weighted avg': {'precision': 0.8233386837881219, 'recall': 0.8371428571428572, 'f1-score': 0.8165433673469388, 'support': 700.0}}","{0: {'No-SCR': 531, 'SCR': 92}, 1: {'No-SCR': 22, 'SCR': 55}}",3285
Logistic Regression (L1),1,Unigrama,True,Parcial,0.8471428571428572,"{'Non SCR': {'precision': 0.8766891891891891, 'recall': 0.9385171790235082, 'f1-score': 0.9065502183406113, 'support': 553.0}, 'SCR': {'precision': 0.6851851851851852, 'recall': 0.5034013605442177, 'f1-score': 0.5803921568627451, 'support': 147.0}, 'accuracy': 0.8471428571428572, 'macro avg': {'precision': 0.7809371871871872, 'recall': 0.7209592697838629, 'f1-score': 0.7434711876016782, 'support': 700.0}, 'weighted avg': {'precision': 0.8364733483483483, 'recall': 0.8471428571428572, 'f1-score': 0.8380570254302594, 'support': 700.0}}","{0: {'No-SCR': 519, 'SCR': 73}, 1: {'No-SCR': 34, 'SCR': 74}}",3285
Logistic Regression (L2),1,Unigrama,True,Parcial,0.85,"{'Non SCR': {'precision': 0.8822525597269625, 'recall': 0.9349005424954792, 'f1-score': 0.9078138718173837, 'support': 553.0}, 'SCR': {'precision': 0.6842105263157895, 'recall': 0.5306122448979592, 'f1-score': 0.5977011494252874, 'support': 147.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.783231543021376, 'recall': 0.7327563936967192, 'f1-score': 0.7527575106213356, 'support': 700.0}, 'weighted avg': {'precision': 0.8406637327106161, 'recall': 0.85, 'f1-score': 0.8426902001150435, 'support': 700.0}}","{0: {'No-SCR': 517, 'SCR': 69}, 1: {'No-SCR': 36, 'SCR': 78}}",3285
Naive Bayes,1,Unigrama,True,Total,0.8185714285714286,"{'Non SCR': {'precision': 0.8697916666666666, 'recall': 0.9059674502712477, 'f1-score': 0.887511071744907, 'support': 553.0}, 'SCR': {'precision': 0.5806451612903226, 'recall': 0.4897959183673469, 'f1-score': 0.5313653136531366, 'support': 147.0}, 'accuracy': 0.8185714285714286, 'macro avg': {'precision': 0.7252184139784946, 'recall': 0.6978816843192973, 'f1-score': 0.7094381926990218, 'support': 700.0}, 'weighted avg': {'precision': 0.8090709005376344, 'recall': 0.8185714285714286, 'f1-score': 0.8127204625456352, 'support': 700.0}}","{0: {'No-SCR': 501, 'SCR': 75}, 1: {'No-SCR': 52, 'SCR': 72}}",3171
SVM,1,Unigrama,True,Total,0.8428571428571429,"{'Non SCR': {'precision': 0.85553772070626, 'recall': 0.9638336347197106, 'f1-score': 0.9064625850340136, 'support': 553.0}, 'SCR': {'precision': 0.7402597402597403, 'recall': 0.3877551020408163, 'f1-score': 0.5089285714285714, 'support': 147.0}, 'accuracy': 0.8428571428571429, 'macro avg': {'precision': 0.7978987304830001, 'recall': 0.6757943683802634, 'f1-score': 0.7076955782312925, 'support': 700.0}, 'weighted avg': {'precision': 0.831329344812491, 'recall': 0.8428571428571429, 'f1-score': 0.8229804421768707, 'support': 700.0}}","{0: {'No-SCR': 533, 'SCR': 90}, 1: {'No-SCR': 20, 'SCR': 57}}",3171
